garment,category,arm,shoulder_error_px,waist_error_px,hip_error_px,hem_error_px,silhouette_iou,flare_distortion,edge_darkening
top_0,top,Full system,3.1622776601683795,77.10382610480494,,64.4980619863884,0.856101054824847,0.2948717948717949,45.294158935546875
top_0,top,Remove similarity transform,108.29589096544707,173.02600960549256,,126.08132169966203,0.8025394332089797,0.1732979664014147,40.565834045410156
top_0,top,Remove garment landmarks,10.0,68.3593446428504,,54.74486277268398,0.812064660270732,0.3183760683760684,45.43626403808594
top_0,top,Remove silhouette conform,10.04987562112089,77.64663547121665,,64.77653896280658,0.7130365659777425,0.012820512820512808,42.606666564941406
top_0,top,Remove depth shading,3.1622776601683795,77.10382610480494,,64.4980619863884,0.856101054824847,0.2948717948717949,42.761810302734375
top_1,top,Full system,3.1622776601683795,79.01582063046806,,64.1248781675256,0.8974222694658517,0.15527950310559008,37.38721466064453
top_1,top,Remove similarity transform,108.84161039752247,173.4156855650607,,114.19936418860385,0.7995309997712194,0.036818851251841,33.41596984863281
top_1,top,Remove garment landmarks,10.63014581273465,71.0879694040018,,56.142675390472796,0.8847262247838616,0.19047619047619055,35.62036895751953
top_1,top,Remove silhouette conform,10.04987562112089,79.1296353554568,,64.1248781675256,0.8237754688975847,0.004926108374384087,34.62445068359375
top_1,top,Remove depth shading,3.1622776601683795,79.01582063046806,,64.1248781675256,0.8974222694658517,0.15527950310559008,35.43498229980469
top_2,top,Full system,2.23606797749979,75.16648189186454,,80.45183160964103,0.8300473788781905,0.23820816864295116,35.10137176513672
top_2,top,Remove similarity transform,108.1965761829986,173.0115603073968,,158.00158226263574,0.6704314617697246,0.027972027972027958,30.759986877441406
top_2,top,Remove garment landmarks,11.40175425099138,66.37017402418047,,70.78484653544112,0.7750345039104432,0.29999999999999993,33.719505310058594
top_2,top,Remove silhouette conform,10.04987562112089,75.8023746329889,,80.97218066821763,0.6837593754783408,0.009696969696969747,33.23541259765625
top_2,top,Remove depth shading,2.23606797749979,75.16648189186454,,80.45183160964103,0.8300473788781905,0.23820816864295116,33.27313995361328
top_3,top,Full system,3.1622776601683795,62.07253821135398,,52.172789842982326,0.8425465024888656,0.38421052631578945,58.0294189453125
top_3,top,Remove similarity transform,108.29589096544707,150.06831702662896,,107.00467279516349,0.7729049316013334,0.2488888888888888,53.345977783203125
top_3,top,Remove garment landmarks,10.0,53.03772242470448,,43.41658669218482,0.7960216998191681,0.36756756756756753,55.6622314453125
top_3,top,Remove silhouette conform,10.04987562112089,62.96824596572466,,52.392747589718944,0.6691416357295534,0.0014814814814814764,55.443206787109375
top_3,top,Remove depth shading,3.1622776601683795,62.07253821135398,,52.172789842982326,0.8425465024888656,0.38421052631578945,54.884674072265625
dress_0,dress,Full system,9.055385138137417,71.00704190430693,92.01358559235524,45.764859697530994,0.7062876519606075,0.17951668584579974,33.57167053222656
dress_0,dress,Remove similarity transform,88.84255736976509,73.02739212103907,78.31347265956222,139.0089924101688,0.8292535204158885,0.2676767676767676,33.28191375732422
dress_0,dress,Remove garment landmarks,22.47220505424423,74.02702209328699,91.0,62.884759919077496,0.9136446235284823,0.31220095693779903,36.06548309326172
dress_0,dress,Remove silhouette conform,10.04987562112089,5.0,11.239278808041284,45.764859697530994,0.6531276203253396,0.01913875598086123,33.072914123535156
dress_0,dress,Remove depth shading,9.055385138137417,71.00704190430693,92.01358559235524,45.764859697530994,0.7062876519606075,0.17951668584579974,31.274818420410156
dress_1,dress,Full system,9.055385138137417,72.0173582655276,94.00531899844816,68.25660206777847,0.9012137795551813,0.01538461538461533,44.47746276855469
dress_1,dress,Remove similarity transform,112.70089846866061,202.05073589569918,245.00102040391337,223.0683748271345,0.8023980437011912,0.10399999999999991,44.74986267089844
